title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,year,month,day
Cooking Mama 2: Dinner With Friends,DS,Simulation,Majesco,6,3.58,1.6,0.1,1.49,0.39,2007-11-13,2007,11,13
The Getaway,PS2,Action,Sony Computer Entertainment,7,3.54,1.23,0.05,1.77,0.49,2003-01-19,2003,1,19
Tomb Raider III: Adventures of Lara Croft,PS,Adventure,Eidos Interactive,8,3.54,1.66,0.12,1.58,0.18,1998-11-21,1998,11,21
Grand Theft Auto: Liberty City Stories,PS2,Action,Rockstar Games,8,3.54,1.56,0.07,1.4,0.5,2006-06-06,2006,6,6
Battlefield 4,X360,Shooter,Electronic Arts,8,3.54,2.16,0.02,1.05,0.32,2013-10-29,2013,10,29
Batman: Arkham Asylum,X360,Action,Eidos Interactive,9,3.54,2.24,0.02,0.95,0.33,2009-08-25,2009,8,25
Resident Evil 5,X360,Action,Capcom,8,3.53,2.13,0.12,0.93,0.34,2009-03-13,2009,3,13
Assassin's Creed: Brotherhood,X360,Action,Ubisoft,9,3.53,2.87,0.03,0.39,0.25,2010-11-16,2010,11,16
LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive,7,3.53,1.98,0.01,1.14,0.41,2005-04-02,2005,4,2
James Bond 007: Agent Under Fire,PS2,Shooter,Electronic Arts,7,3.53,1.9,0.1,1.13,0.41,2001-11-13,2001,11,13
Rugrats in Paris: The Movie,PS,Action,THQ,7,3.52,1.96,0.0,1.33,0.23,2000-10-29,2000,10,29
FIFA Soccer 11,X360,Sports,EA Sports,8,3.52,0.71,0.02,2.39,0.4,2010-09-28,2010,9,28
NBA 2K17,PS4,Sports,2K Sports,9,3.52,2.28,0.03,0.59,0.63,2016-09-16,2016,9,16
Mortal Kombat X,PS4,Fighting,Warner Bros. Interactive Entertainment,8,3.49,1.94,0.0,0.94,0.61,2015-04-14,2015,4,14
FIFA Soccer 2004,PS2,Sports,EA Sports,8,3.49,0.59,0.04,2.36,0.51,2003-11-04,2003,11,4
Borderlands,X360,Shooter,2K Games,8,3.48,2.43,0.03,0.72,0.3,2009-10-20,2009,10,20
Battlefield: Bad Company 2,X360,Shooter,Electronic Arts,9,3.48,2.11,0.04,1.01,0.33,2010-03-02,2010,3,2
Mario & Sonic at the Olympic Winter Games,DS,Sports,Sega,7,3.47,1.21,0.27,1.63,0.37,2009-10-13,2009,10,13
Guitar Hero: On Tour,DS,Misc,Activision,7,3.46,2.1,0.01,1.01,0.35,2008-06-22,2008,6,22
Tekken 4,PS2,Fighting,Namco,7,3.44,1.55,0.33,1.27,0.29,2002-09-23,2002,9,23
LEGO Batman: The Videogame,X360,Adventure,Warner Bros. Interactive,7,3.44,2.07,0.0,1.04,0.34,2008-09-23,2008,9,23
Halo: The Master Chief Collection,XOne,Shooter,Microsoft Studios,8,3.44,2.06,0.03,1.04,0.31,2014-11-11,2014,11,11
LittleBigPlanet 2,PS3,Platform,Sony Computer Entertainment,9,3.43,1.83,0.06,1.07,0.47,2011-01-18,2011,1,18
FIFA 14,PS4,Sports,EA Sports,8,3.43,0.62,0.12,2.18,0.51,2013-11-15,2013,11,15
Grand Theft Auto 2,PS,Action,Rockstar Games,6,3.42,1.13,0.0,2.07,0.22,1999-10-25,1999,10,25
Destiny,XOne,Shooter,Activision,8,3.41,2.17,0.0,0.92,0.32,2014-09-09,2014,9,9
Spider-Man 2,PS2,Action,Activision,7,3.41,1.75,0.02,1.2,0.43,2004-06-28,2004,6,28
FIFA Soccer 2003,PS2,Sports,EA Sports,6,3.4,0.46,0.05,2.28,0.61,2002-11-14,2002,11,14
Crash Bash,PS,Misc,Sony Computer Entertainment,6,3.39,1.56,0.19,1.47,0.17,2000-11-06,2000,11,6
Gears of War 4,XOne,Shooter,Microsoft Studios,8,3.38,2.17,0.0,0.9,0.32,2016-10-11,2016,10,11
The Elder Scrolls V: Skyrim Special Edition,PS4,Role-Playing,Bethesda Softworks,8,3.36,1.24,0.08,1.5,0.54,2016-10-28,2016,10,28
Watch Dogs 2,PS4,Action,Ubisoft,8,3.36,0.98,0.12,1.74,0.52,2016-11-15,2016,11,15
