title,console,genre,publisher,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,year,month,day
The Lord of the Rings: The Battle for Middle-Earth II,X360,Strategy,Electronic Arts,8,0.05,0.0,0.0,0.04,0.0,2006-07-05,2006,7,5
Power Drome,PS2,Racing,Mud Duck Productions,7,0.05,0.03,0.0,0.02,0.01,2004-05-16,2004,5,16
Gran Turismo / Motor Toon Grand Prix 2,PS,Racing,Sony Computer Entertainment,7,0.05,0.03,0.0,0.02,0.0,2003-01-01,2003,1,1
Nights of Azure,PS3,Role-Playing,Tecmo Koei,7,0.05,0.0,0.05,0.0,0.0,2016-03-29,2016,3,29
Hyperdimension Neptunia Re;Birth2: Sisters Generation,PSV,Role-Playing,Idea Factory International,9,0.05,0.03,0.0,0.01,0.01,2015-01-27,2015,1,27
Guild Wars Trilogy,PC,Role-Playing,NCSoft,8,0.05,0.0,0.0,0.04,0.01,2005-04-26,2005,4,26
The Technomancer,XOne,Role-Playing,Focus Home Interactive,8,0.05,0.03,0.0,0.02,0.0,2016-06-28,2016,6,28
Hoshigami: Ruining Blue Earth,PS,Role-Playing,Atlus,7,0.05,0.03,0.0,0.02,0.0,2001-12-20,2001,12,20
Chocobo to Mahou no Ehon: Majo to Shoujo to 5-Jin no Yuusha,DS,Role-Playing,Square Enix,7,0.05,0.0,0.05,0.0,0.0,2008-12-11,2008,12,11
Ys: The Ark of Napishtim,PSP,Role-Playing,Konami,6,0.05,0.04,0.0,0.0,0.0,2006-02-28,2006,2,28
Ray Gigant,PSV,Role-Playing,Acttil,9,0.05,0.0,0.05,0.0,0.0,2016-05-03,2016,5,3
Assassin's Creed: Altair's Chronicles,DS,Action,Ubisoft,5,0.05,0.03,0.0,0.01,0.0,2008-02-05,2008,2,5
Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,DS,Action,Konami,7,0.05,0.0,0.05,0.0,0.0,2008-03-13,2008,3,13
E.X. Troopers,PS3,Action,Capcom,7,0.05,0.0,0.05,0.0,0.0,2012-11-22,2012,11,22
Soul Eater: Medusa no Inbou,DS,Action,Namco Bandai,7,0.05,0.0,0.05,0.0,0.0,2008-10-23,2008,10,23
Dead Cells,PS4,Action,Merge Games,9,0.05,0.04,0.0,0.0,0.01,2018-08-15,2018,8,15
Johnny Bazookatone,PS,Platform,U.S. Gold,7,0.05,0.03,0.0,0.02,0.0,1996-01-01,1996,1,1
Crazy Chicken: Atlantis Quest,DS,Platform,Mumbo Jumbo,7,0.05,0.04,0.0,0.0,0.0,2009-06-02,2009,6,2
SpongeBob SquarePants: Plankton's Robotic Revenge,X360,Platform,Activision,8,0.05,0.04,0.0,0.0,0.0,2013-10-22,2013,10,22
Silhouette Mirage,PS,Platform,Working Designs,7,0.05,0.03,0.0,0.02,0.0,1999-12-31,1999,12,31
Wonder Boy: The Dragon's Trap (Remake),PS4,Platform,DotEmu,7,0.04,0.03,0.0,0.0,0.01,2017-04-18,2017,4,18
Garfield: The Search for Pooky,GBA,Platform,Game Factory,6,0.04,0.03,0.0,0.01,0.0,2005-11-14,2005,11,14
Major League Baseball 2K12,PC,Sports,Take-Two Interactive,8,0.04,0.04,0.0,0.0,0.0,2012-03-06,2012,3,6
Tennis Masters Series 2003,XB,Sports,Hip Interactive,6,0.04,0.03,0.0,0.01,0.0,2003-08-07,2003,8,7
MLB SlugFest 20-04,GC,Sports,Midway Games,8,0.04,0.03,0.0,0.01,0.0,2003-03-16,2003,3,16
Torino 2006,XB,Sports,2K Sports,6,0.04,0.03,0.0,0.01,0.0,2006-01-24,2006,1,24
Gem Smashers,3DS,Platform,Crave Entertainment,8,0.04,0.04,0.0,0.0,0.0,2011-11-08,2011,11,8
Sonic the Hedgehog 2,GG,Platform,Sega,8,0.04,0.0,0.04,0.0,0.0,1992-11-17,1992,11,17
Breeding Stud 2,PS,Sports,Konami,7,0.04,0.0,0.04,0.0,0.0,1998-07-30,1998,7,30
Banushi Life Game: Winner's Circle,DS,Sports,Genki,7,0.04,0.0,0.04,0.0,0.0,2007-10-18,2007,10,18
MLB 2K12 / NBA 2K12 Combo Pack,X360,Sports,2K Sports,8,0.04,0.04,0.0,0.0,0.0,2012-03-06,2012,3,6
Dead Ball Zone,PS,Sports,GT Interactive,7,0.04,0.02,0.0,0.02,0.0,1998-08-01,1998,8,1
NBA In The Zone '99,N64,Sports,Konami,9,0.04,0.04,0.0,0.0,0.0,1999-04-07,1999,4,7
NBA in the Zone 2000,N64,Sports,Konami,9,0.04,0.04,0.0,0.0,0.0,2000-02-18,2000,2,18
The Kore Gang,Wii,Platform,Atari,7,0.04,0.04,0.0,0.0,0.0,2011-11-08,2011,11,8
E.T. The Extra-Terrestrial: Interplanetary Mission,PS,Platform,Ubisoft,7,0.04,0.02,0.0,0.01,0.0,2002-12-30,2002,12,30
Scribblenauts: Showdown,XOne,Platform,Warner Bros. Interactive,8,0.04,0.03,0.0,0.0,0.0,2018-03-06,2018,3,6
The Ant Bully,GBA,Platform,Midway Games,5,0.04,0.03,0.0,0.01,0.0,2006-07-24,2006,7,24
Castlevania Bloodlines,GEN,Platform,Konami,8,0.04,0.0,0.04,0.0,0.0,1994-03-17,1994,3,17
LEGO Pirates of the Caribbean: The Video Game,PC,Action,Disney Interactive Studios,6,0.04,0.04,0.0,0.0,0.0,2011-05-24,2011,5,24
PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!,3DS,Action,Takara Tomy,7,0.04,0.0,0.04,0.0,0.0,2015-03-19,2015,3,19
Dead Rising,XOne,Action,Capcom,8,0.04,0.03,0.0,0.0,0.0,2016-09-13,2016,9,13
Tennis no Oji-Sama: DokiDoki Survival - Umibe no Secret,PS2,Sports,Konami,7,0.04,0.0,0.04,0.0,0.0,2007-01-25,2007,1,25
J.League Pro Soccer Club o Tsukurou! 8 Euro Plus,PSP,Sports,Sega,7,0.04,0.0,0.04,0.0,0.0,2013-10-17,2013,10,17
Yes! PreCure 5,DS,Action,Namco Bandai,7,0.04,0.0,0.04,0.0,0.0,2007-11-29,2007,11,29
Fantastic Four: Rise of the Silver Surfer,DS,Action,2K Games,7,0.04,0.04,0.0,0.0,0.0,2007-06-15,2007,6,15
Darius Burst: Chronicle Saviours,PSV,Action,Kadokawa Games,9,0.04,0.0,0.04,0.0,0.0,2016-01-14,2016,1,14
Terraria,WiiU,Action,505 Games,7,0.04,0.0,0.01,0.03,0.0,2016-06-28,2016,6,28
Living Legends: Frozen Beauty,PC,Action,Big Fish Games,8,0.04,0.0,0.0,0.03,0.0,2014-03-04,2014,3,4
Way of the Samurai 2 Portable,PSP,Action,Spike,7,0.04,0.0,0.04,0.0,0.0,2009-09-03,2009,9,3
Go Diego Go!: Safari Rescue,PS2,Action,2K Play,7,0.04,0.02,0.0,0.02,0.01,2008-02-11,2008,2,11
Scaler,GC,Platform,Global Star Software,7,0.04,0.03,0.0,0.01,0.0,2004-11-17,2004,11,17
Farm Frenzy,PC,Strategy,Mumbo Jumbo,4,0.04,0.04,0.0,0.0,0.0,2008-01-30,2008,1,30
New Little King's Story,PSV,Strategy,Konami Digital Entertainment,9,0.04,0.0,0.04,0.0,0.0,2012-03-29,2012,3,29
Warhammer: Dark Omen,PS,Strategy,Electronic Arts,7,0.04,0.02,0.0,0.01,0.0,1998-04-07,1998,4,7
Company of Heroes,PC,Strategy,THQ,9,0.04,0.0,0.0,0.04,0.0,2006-09-13,2006,9,13
Supreme Commander,PC,Strategy,THQ,8,0.04,0.0,0.0,0.04,0.01,2007-02-20,2007,2,20
Dungeons 3,PS4,Strategy,Kalypso Media,8,0.04,0.03,0.0,0.0,0.01,2017-10-17,2017,10,17
Super Robot Taisen OG Infinite Battle,PS3,Strategy,Namco Bandai Games,7,0.04,0.0,0.04,0.0,0.0,2013-11-28,2013,11,28
Dungeon Raiders,DS,Role-Playing,UFO Interactive,7,0.04,0.04,0.0,0.0,0.0,2011-02-15,2011,2,15
Unbox: Newbie's Adventure,PS4,Action,Merge Games,8,0.04,0.03,0.0,0.0,0.01,2017-07-26,2017,7,26
Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,DS,Action,Namco Bandai,7,0.04,0.0,0.04,0.0,0.0,2010-11-04,2010,11,4
James Cameron's Avatar: The Game,PC,Action,Ubisoft,6,0.04,0.0,0.0,0.04,0.0,2009-12-01,2009,12,1
Senran Kagura Burst Re:Newal,PS4,Action,Xseed Games,8,0.04,0.0,0.04,0.0,0.0,2019-01-15,2019,1,15
Pocket Pool,PSP,Action,Eidos Interactive,3,0.04,0.04,0.0,0.0,0.0,2007-04-18,2007,4,18
Sine Mora EX,NS,Action,THQ Nordic,8,0.04,0.0,0.0,0.04,0.0,2017-09-26,2017,9,26
Doki Doki! Pretty Cure Narikiri Life!,3DS,Action,Namco Bandai Games,7,0.04,0.0,0.04,0.0,0.0,2013-08-01,2013,8,1
Elven Legacy,PC,Strategy,Paradox Interactive,8,0.04,0.04,0.0,0.0,0.0,2009-04-07,2009,4,7
Ookami Kakushi,PSP,Action,Konami,7,0.04,0.0,0.04,0.0,0.0,2009-08-20,2009,8,20
TMNT,DS,Action,Ubisoft,3,0.04,0.03,0.0,0.01,0.0,2007-03-20,2007,3,20
Sengoku Musou 3 Z Special,PSP,Action,Tecmo Koei,7,0.04,0.0,0.04,0.0,0.0,2012-02-16,2012,2,16
Dark Souls Trilogy,XOne,Action,Namco Bandai,8,0.04,0.04,0.0,0.0,0.0,2018-10-19,2018,10,19
Samurai Warriors 2: Empires,X360,Action,KOEI,8,0.04,0.03,0.01,0.0,0.0,2007-02-27,2007,2,27
Cy Girls,PS2,Action,Konami,7,0.04,0.02,0.0,0.01,0.0,2004-03-23,2004,3,23
Barnyard,Wii,Action,THQ,5,0.04,0.04,0.0,0.0,0.0,2006-12-04,2006,12,4
Lionel Trains: On Track,DS,Action,DSI Games,7,0.04,0.04,0.0,0.0,0.0,2006-12-06,2006,12,6
Gumby vs. the Astrobots,GBA,Action,Namco,6,0.04,0.03,0.0,0.01,0.0,2005-08-09,2005,8,9
Gudetama: Hanjuku de Tanomuwa,3DS,Action,Rocket Company,7,0.04,0.0,0.04,0.0,0.0,2015-12-03,2015,12,3
Rose to Tasogare no Kojou,PSV,Action,Nippon Ichi Software,9,0.04,0.0,0.04,0.0,0.0,2016-04-26,2016,4,26
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,XB,Action,Konami,6,0.04,0.03,0.0,0.01,0.0,2005-11-01,2005,11,1
Beatdown: Fists of Vengeance,XB,Action,Capcom,6,0.04,0.03,0.0,0.01,0.0,2005-08-23,2005,8,23
Warriors  Orochi 4,XOne,Action,Koei Tecmo,8,0.04,0.03,0.0,0.0,0.0,2018-10-16,2018,10,16
Terraria,XOne,Action,505 Games,7,0.04,0.0,0.0,0.04,0.0,2014-12-02,2014,12,2
Aeon Flux,PS2,Action,Majesco,7,0.04,0.02,0.0,0.02,0.01,2005-11-15,2005,11,15
SD Gundam G Generation Genesis,NS,Strategy,Bandai Namco Games,8,0.04,0.0,0.04,0.0,0.0,2018-04-26,2018,4,26
Company of Heroes: Opposing Fronts,PC,Strategy,THQ,8,0.04,0.01,0.0,0.03,0.0,2007-09-24,2007,9,24
Shadow Tactics: Blades of the Shogun,PS4,Strategy,Kalypso Media,8,0.04,0.02,0.0,0.01,0.01,2017-08-01,2017,8,1
Syndicate Wars,PS,Strategy,Electronic Arts,7,0.04,0.02,0.0,0.01,0.0,1997-07-31,1997,7,31
The Adventures of Darwin,PS2,Strategy,D3 Publisher,7,0.04,0.01,0.03,0.0,0.0,2007-06-25,2007,6,25
City Builder,Wii,Strategy,Virtual Play Games,7,0.04,0.04,0.0,0.0,0.0,2010-06-08,2010,6,8
R-Type Command (correct US sales),PSP,Strategy,Atlus,7,0.04,0.04,0.0,0.0,0.0,2008-05-06,2008,5,6
Empire Earth III,PC,Strategy,Sierra Entertainment,4,0.04,0.0,0.0,0.03,0.0,2007-11-06,2007,11,6
Darkest Dungeon,PS4,Role-Playing,Red Hook Studios,8,0.04,0.02,0.01,0.0,0.01,2018-04-24,2018,4,24
Rhapsody: A Musical Adventure,PS,Role-Playing,Atlus,6,0.04,0.02,0.0,0.01,0.0,2000-03-30,2000,3,30
APB Reloaded,PC,Role-Playing,IGS,8,0.04,0.02,0.0,0.01,0.0,2011-12-01,2011,12,1
Enchanted Arms (JP sales),PS3,Role-Playing,Ubisoft,7,0.04,0.0,0.04,0.0,0.0,2007-04-03,2007,4,3
Super Hero Generation,PS3,Role-Playing,Namco Bandai Games,7,0.04,0.0,0.04,0.0,0.0,2014-10-23,2014,10,23
Medarot 9: Kabuto Ver. / Kuwagata Ver.,3DS,Role-Playing,Rocket Company,7,0.04,0.0,0.04,0.0,0.0,2015-12-24,2015,12,24
Dark Half,SNES,Role-Playing,Enix,8,0.04,0.0,0.04,0.0,0.0,1996-05-31,1996,5,31
Mobile Suit Gundam: Mokuba no Kiseki,PSP,Strategy,Namco Bandai Games,7,0.04,0.0,0.04,0.0,0.0,2012-01-26,2012,1,26
East India Company,PC,Strategy,Paradox Interactive,7,0.04,0.03,0.0,0.0,0.0,2009-07-31,2009,7,31
Worms 4: Mayhem,XB,Strategy,Majesco,6,0.04,0.03,0.0,0.01,0.0,2005-10-04,2005,10,4
Company of Heroes: Tales of Valor,PC,Strategy,THQ,8,0.04,0.0,0.0,0.03,0.01,2009-04-07,2009,4,7
Farm Frenzy 3,PC,Strategy,Alawar Entertainment,8,0.04,0.0,0.0,0.03,0.01,2009-07-21,2009,7,21
Patrician IV,PC,Strategy,Kalypso,6,0.04,0.03,0.0,0.0,0.0,2010-09-14,2010,9,14
Megadimension Neptunia VII,PS4,Role-Playing,Idea Factory International,8,0.04,0.0,0.04,0.0,0.0,2016-02-02,2016,2,2
Boktai 2: Solar Boy Django,GBA,Role-Playing,Konami,7,0.04,0.03,0.0,0.01,0.0,2004-10-19,2004,10,19
Drakensang: The Dark Eye,PC,Role-Playing,THQ,8,0.04,0.03,0.0,0.0,0.0,2009-02-23,2009,2,23
The Dark Spire,DS,Role-Playing,Atlus,7,0.04,0.04,0.0,0.0,0.0,2009-04-14,2009,4,14
Battle Spirits: Digital Starter,DS,Role-Playing,Namco Bandai,7,0.04,0.0,0.04,0.0,0.0,2010-08-05,2010,8,5
Mazes of Fate DS,DS,Role-Playing,Graffiti,7,0.04,0.04,0.0,0.0,0.0,2008-08-22,2008,8,22
Syberia III,PC,Role-Playing,Microids,8,0.04,0.02,0.0,0.02,0.0,2017-04-25,2017,4,25
Fushigi no Dungeon - Furai no Shiren 4 Plus: Kami no Hitomi to Akuma no Heso,PSP,Role-Playing,Spike,7,0.04,0.0,0.04,0.0,0.0,2012-10-18,2012,10,18
The Legend of Heroes: Trails in the Sky Third Chapter,PSV,Role-Playing,Nihon Falcom Corporation,9,0.04,0.0,0.04,0.0,0.0,2016-07-14,2016,7,14
Dai Senryaku VII: Modern Military Tactics,XB,Strategy,Kemco,6,0.04,0.03,0.0,0.01,0.0,2005-02-16,2005,2,16
Test Drive: Ferrari Legends,PS3,Racing,Rombax Games,7,0.04,0.04,0.0,0.0,0.01,2012-07-03,2012,7,3
Forza Motorsport 3: Ultimate Collection,X360,Racing,Microsoft Game Studios,8,0.04,0.0,0.0,0.04,0.0,2010-11-18,2010,11,18
The Legend of Heroes: Trails in the Sky FC,PS3,Role-Playing,Falcom Corporation,7,0.04,0.0,0.04,0.0,0.0,2012-12-13,2012,12,13
Battle Chasers: Nightwar,XOne,Role-Playing,THQ Nordic,8,0.04,0.04,0.0,0.0,0.0,2017-10-03,2017,10,3
Tao Adventure: Curse Demon,DS,Role-Playing,Konami,7,0.04,0.03,0.0,0.0,0.0,2006-03-21,2006,3,21
Might & Magic X: Legacy,PC,Role-Playing,Ubisoft,8,0.04,0.0,0.0,0.03,0.0,2014-04-01,2014,4,1
Black Stone: Magic & Steel,XB,Role-Playing,Xicat Interactive,6,0.04,0.03,0.0,0.01,0.0,2003-03-19,2003,3,19
Secret of Mana,PSV,Role-Playing,Square Enix,9,0.04,0.0,0.04,0.0,0.0,2018-02-15,2018,2,15
Supreme Commander: Forged Alliance,PC,Strategy,THQ,8,0.04,0.01,0.0,0.02,0.0,2007-11-06,2007,11,6
"Warhammer 40,000: Dawn of War III",PC,Strategy,Sega,8,0.04,0.0,0.0,0.04,0.0,2017-04-27,2017,4,27
Battle Hunter,PS,Strategy,Agetec,7,0.04,0.02,0.0,0.01,0.0,2001-06-01,2001,6,1
Romance of the Three Kingdoms II,3DS,Strategy,Tecmo Koei,7,0.04,0.0,0.04,0.0,0.0,2015-08-06,2015,8,6
Tears to Tiara Gaiden: Avalon no Nazo,PS3,Strategy,Aquaplus,7,0.04,0.0,0.04,0.0,0.0,2009-09-17,2009,9,17
San Goku Shi DS 3,DS,Strategy,KOEI,7,0.04,0.0,0.04,0.0,0.0,2010-02-18,2010,2,18
Caesar IV,PC,Strategy,Sierra Entertainment,8,0.04,0.0,0.0,0.03,0.0,2006-09-26,2006,9,26
Super Robot Taisen: Scramble Commander the 2nd,PS2,Strategy,Banpresto,7,0.04,0.0,0.04,0.0,0.0,2007-11-01,2007,11,1
Thrillville: Off the Rails,DS,Strategy,LucasArts,8,0.04,0.03,0.0,0.01,0.0,2007-10-09,2007,10,9
Praetorians,PC,Strategy,Eidos Interactive,8,0.04,0.0,0.0,0.04,0.0,2003-03-10,2003,3,10
Shattered Union,XB,Strategy,2K Games,6,0.04,0.03,0.0,0.01,0.0,2005-10-17,2005,10,17
PD Ultraman Battle Collection 64,N64,Strategy,Bandai,9,0.04,0.0,0.04,0.0,0.0,1999-07-16,1999,7,16
The Idolm@ster: Must Songs - Red Board / Blue Board,PSV,Music,Namco Bandai Games,9,0.04,0.0,0.04,0.0,0.0,2015-12-10,2015,12,10
Final Fantasy XIV: Heavensward,PS3,MMO,Square Enix,7,0.04,0.02,0.01,0.0,0.0,2015-06-23,2015,6,23
Dragon Quest X: All in One Package,NS,MMO,Square Enix,8,0.04,0.0,0.04,0.0,0.0,2017-09-21,2017,9,21
Taikou Risshiden V,PSP,Strategy,KOEI,7,0.04,0.0,0.04,0.0,0.0,2009-09-17,2009,9,17
Worms Armageddon,N64,Strategy,Infogrames,8,0.04,0.03,0.0,0.01,0.0,2000-03-30,2000,3,30
Port Royale 2,PC,Strategy,Ascaron Entertainment,8,0.04,0.0,0.0,0.03,0.01,2004-09-13,2004,9,13
Front Mission,DS,Strategy,Square Enix,7,0.04,0.01,0.03,0.0,0.0,2007-10-23,2007,10,23
Angelique Duet,PS,Strategy,KOEI,7,0.04,0.0,0.04,0.0,0.0,1998-07-30,1998,7,30
Nobunaga's Ambition (2013),3DS,Strategy,Tecmo Koei,7,0.04,0.0,0.04,0.0,0.0,2013-09-19,2013,9,19
Tropico 3,PC,Strategy,Kalypso,8,0.04,0.0,0.0,0.04,0.01,2009-10-20,2009,10,20
Sacred Blaze,PS2,Strategy,Flight-Plan,7,0.04,0.0,0.04,0.0,0.0,2009-02-19,2009,2,19
Imperial Glory,PC,Strategy,Eidos Interactive,8,0.04,0.0,0.0,0.04,0.0,2005-05-17,2005,5,17
Ford Bold Moves Street Racing,PSP,Racing,Eidos Interactive,7,0.04,0.04,0.0,0.0,0.0,2006-10-17,2006,10,17
TOCA Race Driver 2: Ultimate Racing Simulator & Colin McRae Rally 04,XB,Racing,Codemasters,6,0.04,0.03,0.0,0.01,0.0,2004-10-05,2004,10,5
Honda ATV Fever,Wii,Racing,Storm City Games,7,0.04,0.04,0.0,0.0,0.0,2010-10-01,2010,10,1
Harley-Davidson: Road Trip,Wii,Racing,Destineer,7,0.04,0.04,0.0,0.0,0.0,2010-06-28,2010,6,28
FlatOut 2,XB,Racing,Vivendi Games,6,0.04,0.03,0.0,0.01,0.0,2006-08-01,2006,8,1
Ride to Hell: Retribution,PS3,Racing,Deep Silver,7,0.04,0.02,0.0,0.02,0.01,2013-06-25,2013,6,25
Richard Burns Rally,PC,Racing,SCi,8,0.04,0.0,0.0,0.03,0.0,2004-09-03,2004,9,3
Monster Jam: Crush It,XOne,Racing,GameMill,8,0.04,0.03,0.0,0.0,0.0,2017-01-17,2017,1,17
Dragon's Dogma: Dark Arisen,XOne,Role-Playing,Capcom,8,0.04,0.04,0.0,0.0,0.0,2017-10-03,2017,10,3
Record of Agarest War Mariage,PSP,Role-Playing,Compile Heart,7,0.04,0.0,0.04,0.0,0.0,2012-07-19,2012,7,19
Little Battlers eXperience W,PSV,Role-Playing,Level 5,9,0.04,0.0,0.04,0.0,0.0,2012-10-18,2012,10,18
Summon Night Craft Sword Monogatari: Hajimari no Ishi,GBA,Role-Playing,Banpresto,6,0.04,0.0,0.04,0.0,0.0,2005-12-08,2005,12,8
Mana Khemia: Alchemists of Al-Revis (JP sales),PS2,Role-Playing,NIS America,6,0.04,0.0,0.04,0.0,0.0,2008-04-01,2008,4,1
Beyblade Burst: God,3DS,Role-Playing,FuRyu Corporation,7,0.04,0.0,0.04,0.0,0.0,2017-11-23,2017,11,23
Tsurugi no Machi no Ihoujin: Kuro no Kyuuden,PSV,Role-Playing,Experience Inc.,9,0.04,0.0,0.04,0.0,0.0,2015-01-22,2015,1,22
Road Rage,XOne,Racing,Maximum Games,8,0.04,0.04,0.0,0.0,0.0,2017-11-14,2017,11,14
Ar Nosurge: Ode to an Unborn Star,PSV,Role-Playing,Tecmo Koei,9,0.04,0.0,0.04,0.0,0.0,2015-07-02,2015,7,2
Phantom Kingdom Portable,PSP,Role-Playing,Nippon Ichi Software,7,0.04,0.0,0.04,0.0,0.0,2011-10-06,2011,10,6
The Legend of Heroes: Trails in the Sky SC Evolution,PSV,Role-Playing,Kadokawa Games,9,0.04,0.0,0.04,0.0,0.0,2015-12-10,2015,12,10
Genkai Tokki: Seven Pirates,PSV,Role-Playing,Compile Heart,9,0.04,0.0,0.04,0.0,0.0,2016-08-04,2016,8,4
Breath of Fire III,PSP,Role-Playing,Capcom,6,0.04,0.0,0.0,0.03,0.01,2016-02-09,2016,2,9
Lost Sphear,NS,Role-Playing,Square Enix,6,0.04,0.0,0.02,0.02,0.0,2018-01-23,2018,1,23
Megadimension Neptunia VIIR,PS4,Role-Playing,Idea Factory International,8,0.04,0.01,0.03,0.0,0.0,2018-05-08,2018,5,8
Advance Guardian Heroes,GBA,Role-Playing,Ubisoft,7,0.04,0.03,0.0,0.01,0.0,2004-09-14,2004,9,14
Luminous Arc 3,DS,Role-Playing,Marvelous Interactive,7,0.04,0.0,0.04,0.0,0.0,2009-12-10,2009,12,10
Deception III: Dark Delusion,PS,Role-Playing,Tecmo,7,0.04,0.02,0.0,0.01,0.0,2000-03-01,2000,3,1
Superdimension Neptunia VS Sega Hard Girls: Yume no Gattai Special,PSV,Role-Playing,Idea Factory,9,0.04,0.0,0.04,0.0,0.0,2016-10-18,2016,10,18
Metal Max Returns,SNES,Role-Playing,Data East,8,0.04,0.0,0.04,0.0,0.0,1995-09-29,1995,9,29
Langrisser: Re:Incarnation Tensei,3DS,Role-Playing,Aksys Games,1,0.04,0.03,0.01,0.0,0.0,2016-04-19,2016,4,19
Lise no Atelier: Ordre no Renkinjutsushi,DS,Role-Playing,Gust,7,0.04,0.0,0.04,0.0,0.0,2007-04-19,2007,4,19
Dragon's Dogma Online,PS3,Role-Playing,Capcom,7,0.04,0.0,0.04,0.0,0.0,2015-08-27,2015,8,27
Hero Must Die,PSV,Role-Playing,Nippon Ichi Software,9,0.04,0.0,0.04,0.0,0.0,2016-02-25,2016,2,25
Hakuoki Zuisouroku Omokage Hana,PSV,Visual Novel,Idea Factory,9,0.04,0.0,0.04,0.0,0.0,2015-02-19,2015,2,19
Norn9: Norn + Nonette,PSP,Visual Novel,Idea Factory,7,0.04,0.0,0.04,0.0,0.0,2013-05-30,2013,5,30
Psycho-Pass: Mandatory Happiness,PSV,Visual Novel,NIS America,9,0.04,0.0,0.02,0.01,0.0,2016-09-13,2016,9,13
The Three Kingdoms Love Story ~ The Art of Otome!,PSP,Visual Novel,Prototype,7,0.04,0.0,0.04,0.0,0.0,2012-07-26,2012,7,26
XBLAZE Code: Embryo,PS3,Visual Novel,Aksys Games,7,0.04,0.02,0.01,0.0,0.01,2014-06-24,2014,6,24
Jewel Quest Mysteries 2: Trail of the Midnight Heart,DS,Puzzle,Unknown,7,0.04,0.0,0.0,0.04,0.0,2011-11-25,2011,11,25
Kenka Bancho Otome,PSV,Visual Novel,Spike Chunsoft,9,0.04,0.0,0.04,0.0,0.0,2016-05-19,2016,5,19
White Album 2: Shiawase no Mukougawa,PS3,Visual Novel,Aqua Plus,7,0.04,0.0,0.04,0.0,0.0,2012-12-20,2012,12,20
YoKai Watch Dance: Just Dance Special Version,WiiU,Music,Level 5,8,0.04,0.0,0.04,0.0,0.0,2015-12-05,2015,12,5
Just Sing,PS4,Music,Ubisoft,8,0.04,0.03,0.0,0.0,0.01,2016-09-06,2016,9,6
Persona 3: Dancing in Moonlight,PS4,Music,Atlus,8,0.04,0.02,0.01,0.0,0.01,2018-12-04,2018,12,4
Off-Road Drive,PC,Racing,1C Company,8,0.04,0.0,0.0,0.04,0.0,2011-09-29,2011,9,29
Fast & Furious: Showdown,X360,Racing,Activision,8,0.04,0.0,0.0,0.04,0.0,2013-05-21,2013,5,21
Zen-Nippon GT Senshuken,SNES,Racing,Banpresto,8,0.04,0.0,0.04,0.0,0.0,1995-09-29,1995,9,29
Date A Live: Rine Utopia,PS3,Visual Novel,Compile Heart,7,0.04,0.0,0.04,0.0,0.0,2013-06-27,2013,6,27
Utawarerumono: Mask of Truth,PS3,Visual Novel,Aqua Plus,7,0.04,0.0,0.04,0.0,0.0,2016-09-21,2016,9,21
Gormiti: The Lords of Nature!,Wii,Adventure,Konami,7,0.04,0.03,0.0,0.0,0.0,2010-09-21,2010,9,21
The Wolf Among Us,PSV,Adventure,Telltale Games,9,0.04,0.03,0.0,0.0,0.01,2014-11-04,2014,11,4
Heavy Rain: Move Edition,PS3,Adventure,Sony Computer Entertainment,7,0.04,0.0,0.0,0.03,0.01,2010-10-08,2010,10,8
Kanuchi: Shiroki Tsubasa no Shou,PS2,Adventure,Idea Factory,7,0.04,0.0,0.04,0.0,0.0,2008-10-02,2008,10,2
Saki Portable,PSP,Adventure,Alchemist,7,0.04,0.0,0.04,0.0,0.0,2010-03-25,2010,3,25
Renai Revenge,PSV,Adventure,TGL,9,0.04,0.0,0.04,0.0,0.0,2015-10-29,2015,10,29
Chaos Wars,PS2,Strategy,O~3 Entertainment,6,0.04,0.0,0.04,0.0,0.0,2008-06-03,2008,6,3
OutRun 2006: Coast 2 Coast,PSP,Racing,Sega,7,0.04,0.03,0.0,0.01,0.0,2006-04-25,2006,4,25
Sea Monsters: A Prehistoric Adventure,Wii,Adventure,DSI Games,7,0.04,0.04,0.0,0.0,0.0,2007-12-27,2007,12,27
DT Carnage,PSP,Racing,Agetec,7,0.04,0.03,0.0,0.0,0.0,2009-04-21,2009,4,21
Formula 1 06,PS2,Racing,Sony Computer Entertainment,7,0.04,0.0,0.04,0.0,0.0,2006-07-28,2006,7,28
Smashing Drive,XB,Racing,Namco,4,0.04,0.03,0.0,0.01,0.0,2002-05-13,2002,5,13
VR Karts,PS4,Racing,Perp Games,8,0.04,0.03,0.0,0.0,0.01,2017-11-28,2017,11,28
WRC: FIA World Rally Championship,PSP,Racing,Namco Bandai,7,0.04,0.02,0.0,0.01,0.0,2006-04-18,2006,4,18
System 3 presents Ferrari Challenge Trofeo Pirelli,DS,Racing,System 3 Arcade Software,7,0.04,0.03,0.0,0.01,0.0,2008-08-26,2008,8,26
